Theta0 (°),Phi0 (°),Input Phase 1-1 (°),Input Phase 1-2 (°),Input Phase 1-3 (°),Input Phase 1-4 (°),Input Phase 2-1 (°),Input Phase 2-2 (°),Input Phase 2-3 (°),Input Phase 2-4 (°),Input Phase 3-1 (°),Input Phase 3-2 (°),Input Phase 3-3 (°),Input Phase 3-4 (°),Input Phase 4-1 (°),Input Phase 4-2 (°),Input Phase 4-3 (°),Input Phase 4-4 (°)
0.0,0.0,0.0,180.0,-0.0,180.0,0.0,180.0,-0.0,180.0,0.0,180.0,-0.0,180.0,0.0,180.0,-0.0,180.0
0.0,1.9047619047619047,0.0,180.0,-0.0,180.0,0.0,180.0,-0.0,180.0,0.0,180.0,-0.0,180.0,0.0,180.0,-0.0,180.0
0.0,3.8095238095238093,0.0,180.0,-1.40625,178.59375,0.0,180.0,-1.40625,178.59375,0.0,180.0,-1.40625,178.59375,0.0,180.0,-1.40625,178.59375
0.0,5.7142857142857135,0.0,178.59375,-1.40625,177.1875,0.0,178.59375,-1.40625,177.1875,0.0,178.59375,-1.40625,177.1875,0.0,178.59375,-1.40625,177.1875
0.0,7.619047619047619,0.0,178.59375,-2.8125,175.78125,0.0,178.59375,-2.8125,175.78125,0.0,178.59375,-2.8125,175.78125,0.0,178.59375,-2.8125,175.78125
0.0,9.523809523809524,0.0,177.1875,-5.625,172.96875,0.0,177.1875,-5.625,172.96875,0.0,177.1875,-5.625,172.96875,0.0,177.1875,-5.625,172.96875
0.0,11.428571428571427,0.0,175.78125,-7.03125,168.75,0.0,175.78125,-7.03125,168.75,0.0,175.78125,-7.03125,168.75,0.0,175.78125,-7.03125,168.75
0.0,13.333333333333332,0.0,175.78125,-9.84375,165.9375,0.0,175.78125,-9.84375,165.9375,0.0,175.78125,-9.84375,165.9375,0.0,175.78125,-9.84375,165.9375
0.0,15.238095238095237,0.0,172.96875,-12.65625,160.3125,0.0,172.96875,-12.65625,160.3125,0.0,172.96875,-12.65625,160.3125,0.0,172.96875,-12.65625,160.3125
0.0,17.142857142857142,0.0,171.5625,-15.46875,156.09375,0.0,171.5625,-15.46875,156.09375,0.0,171.5625,-15.46875,156.09375,0.0,171.5625,-15.46875,156.09375
0.0,19.047619047619047,0.0,170.15625,-19.6875,150.46875,0.0,170.15625,-19.6875,150.46875,0.0,170.15625,-19.6875,150.46875,0.0,170.15625,-19.6875,150.46875
0.0,20.952380952380953,0.0,168.75,-23.90625,144.84375,0.0,168.75,-23.90625,144.84375,0.0,168.75,-23.90625,144.84375,0.0,168.75,-23.90625,144.84375
0.0,22.857142857142854,0.0,165.9375,-28.125,137.8125,0.0,165.9375,-28.125,137.8125,0.0,165.9375,-28.125,137.8125,0.0,165.9375,-28.125,137.8125
0.0,24.761904761904763,0.0,163.125,-33.75,130.78125,0.0,163.125,-33.75,130.78125,0.0,163.125,-33.75,130.78125,0.0,163.125,-33.75,130.78125
0.0,26.666666666666664,0.0,160.3125,-37.96875,122.34375,0.0,160.3125,-37.96875,122.34375,0.0,160.3125,-37.96875,122.34375,0.0,160.3125,-37.96875,122.34375
0.0,28.57142857142857,0.0,157.5,-43.59375,113.90625,0.0,157.5,-43.59375,113.90625,0.0,157.5,-43.59375,113.90625,0.0,157.5,-43.59375,113.90625
0.0,30.476190476190474,0.0,154.6875,-49.21875,105.46875,0.0,154.6875,-49.21875,105.46875,0.0,154.6875,-49.21875,105.46875,0.0,154.6875,-49.21875,105.46875
0.0,32.38095238095238,0.0,151.875,-56.25,95.625,0.0,151.875,-56.25,95.625,0.0,151.875,-56.25,95.625,0.0,151.875,-56.25,95.625
0.0,34.285714285714285,0.0,149.0625,-61.875,85.78125,0.0,149.0625,-61.875,85.78125,0.0,149.0625,-61.875,85.78125,0.0,149.0625,-61.875,85.78125
0.0,36.1904761904762,0.0,144.84375,-68.90625,75.9375,0.0,144.84375,-68.90625,75.9375,0.0,144.84375,-68.90625,75.9375,0.0,144.84375,-68.90625,75.9375
0.0,38.095238095238095,0.0,142.03125,-77.34375,64.6875,0.0,142.03125,-77.34375,64.6875,0.0,142.03125,-77.34375,64.6875,0.0,142.03125,-77.34375,64.6875
0.0,40.0,0.0,137.8125,-84.375,53.4375,0.0,137.8125,-84.375,53.4375,0.0,137.8125,-84.375,53.4375,0.0,137.8125,-84.375,53.4375
0.0,41.904761904761905,0.0,133.59375,-91.40625,42.1875,0.0,133.59375,-91.40625,42.1875,0.0,133.59375,-91.40625,42.1875,0.0,133.59375,-91.40625,42.1875
0.0,43.80952380952381,0.0,129.375,-99.84375,29.53125,0.0,129.375,-99.84375,29.53125,0.0,129.375,-99.84375,29.53125,0.0,129.375,-99.84375,29.53125
0.0,45.71428571428571,0.0,125.15625,-108.28125,16.875,0.0,125.15625,-108.28125,16.875,0.0,125.15625,-108.28125,16.875,0.0,125.15625,-108.28125,16.875
0.0,47.61904761904761,0.0,120.9375,-116.71875,4.21875,0.0,120.9375,-116.71875,4.21875,0.0,120.9375,-116.71875,4.21875,0.0,120.9375,-116.71875,4.21875
0.0,49.523809523809526,0.0,116.71875,-126.5625,-9.84375,0.0,116.71875,-126.5625,-9.84375,0.0,116.71875,-126.5625,-9.84375,0.0,116.71875,-126.5625,-9.84375
0.0,51.42857142857142,0.0,112.5,-135.0,-23.90625,0.0,112.5,-135.0,-23.90625,0.0,112.5,-135.0,-23.90625,0.0,112.5,-135.0,-23.90625
0.0,53.33333333333333,0.0,106.875,-144.84375,-37.96875,0.0,106.875,-144.84375,-37.96875,0.0,106.875,-144.84375,-37.96875,0.0,106.875,-144.84375,-37.96875
0.0,55.238095238095234,0.0,102.65625,-154.6875,-52.03125,0.0,102.65625,-154.6875,-52.03125,0.0,102.65625,-154.6875,-52.03125,0.0,102.65625,-154.6875,-52.03125
0.0,57.14285714285714,0.0,97.03125,-164.53125,-67.5,0.0,97.03125,-164.53125,-67.5,0.0,97.03125,-164.53125,-67.5,0.0,97.03125,-164.53125,-67.5
0.0,59.04761904761904,0.0,92.8125,-174.375,-81.5625,0.0,92.8125,-174.375,-81.5625,0.0,92.8125,-174.375,-81.5625,0.0,92.8125,-174.375,-81.5625
0.0,60.95238095238095,0.0,87.1875,174.375,-98.4375,0.0,87.1875,174.375,-98.4375,0.0,87.1875,174.375,-98.4375,0.0,87.1875,174.375,-98.4375
0.0,62.857142857142854,0.0,81.5625,164.53125,-113.90625,0.0,81.5625,164.53125,-113.90625,0.0,81.5625,164.53125,-113.90625,0.0,81.5625,164.53125,-113.90625
0.0,64.76190476190476,0.0,77.34375,153.28125,-129.375,0.0,77.34375,153.28125,-129.375,0.0,77.34375,153.28125,-129.375,0.0,77.34375,153.28125,-129.375
0.0,66.66666666666666,0.0,71.71875,142.03125,-146.25,0.0,71.71875,142.03125,-146.25,0.0,71.71875,142.03125,-146.25,0.0,71.71875,142.03125,-146.25
0.0,68.57142857142857,0.0,66.09375,132.1875,-163.125,0.0,66.09375,132.1875,-163.125,0.0,66.09375,132.1875,-163.125,0.0,66.09375,132.1875,-163.125
0.0,70.47619047619048,0.0,60.46875,120.9375,-180.0,0.0,60.46875,120.9375,-180.0,0.0,60.46875,120.9375,-180.0,0.0,60.46875,120.9375,-180.0
0.0,72.3809523809524,0.0,54.84375,108.28125,163.125,0.0,54.84375,108.28125,163.125,0.0,54.84375,108.28125,163.125,0.0,54.84375,108.28125,163.125
0.0,74.28571428571428,0.0,49.21875,97.03125,146.25,0.0,49.21875,97.03125,146.25,0.0,49.21875,97.03125,146.25,0.0,49.21875,97.03125,146.25
0.0,76.19047619047619,0.0,43.59375,85.78125,129.375,0.0,43.59375,85.78125,129.375,0.0,43.59375,85.78125,129.375,0.0,43.59375,85.78125,129.375
0.0,78.09523809523809,0.0,36.5625,74.53125,111.09375,0.0,36.5625,74.53125,111.09375,0.0,36.5625,74.53125,111.09375,0.0,36.5625,74.53125,111.09375
0.0,80.0,0.0,30.9375,61.875,94.21875,0.0,30.9375,61.875,94.21875,0.0,30.9375,61.875,94.21875,0.0,30.9375,61.875,94.21875
0.0,81.9047619047619,0.0,25.3125,50.625,75.9375,0.0,25.3125,50.625,75.9375,0.0,25.3125,50.625,75.9375,0.0,25.3125,50.625,75.9375
0.0,83.80952380952381,0.0,19.6875,39.375,57.65625,0.0,19.6875,39.375,57.65625,0.0,19.6875,39.375,57.65625,0.0,19.6875,39.375,57.65625
0.0,85.71428571428571,0.0,14.0625,26.71875,40.78125,0.0,14.0625,26.71875,40.78125,0.0,14.0625,26.71875,40.78125,0.0,14.0625,26.71875,40.78125
0.0,87.61904761904762,0.0,7.03125,15.46875,22.5,0.0,7.03125,15.46875,22.5,0.0,7.03125,15.46875,22.5,0.0,7.03125,15.46875,22.5
0.0,89.52380952380952,0.0,1.40625,2.8125,4.21875,0.0,1.40625,2.8125,4.21875,0.0,1.40625,2.8125,4.21875,0.0,1.40625,2.8125,4.21875
0.0,91.42857142857142,0.0,-4.21875,-8.4375,-14.0625,0.0,-4.21875,-8.4375,-14.0625,0.0,-4.21875,-8.4375,-14.0625,0.0,-4.21875,-8.4375,-14.0625
0.0,93.33333333333333,0.0,-9.84375,-21.09375,-30.9375,0.0,-9.84375,-21.09375,-30.9375,0.0,-9.84375,-21.09375,-30.9375,0.0,-9.84375,-21.09375,-30.9375
0.0,95.23809523809523,0.0,-16.875,-32.34375,-49.21875,0.0,-16.875,-32.34375,-49.21875,0.0,-16.875,-32.34375,-49.21875,0.0,-16.875,-32.34375,-49.21875
0.0,97.14285714285714,0.0,-22.5,-45.0,-67.5,0.0,-22.5,-45.0,-67.5,0.0,-22.5,-45.0,-67.5,0.0,-22.5,-45.0,-67.5
0.0,99.04761904761905,0.0,-28.125,-56.25,-84.375,0.0,-28.125,-56.25,-84.375,0.0,-28.125,-56.25,-84.375,0.0,-28.125,-56.25,-84.375
0.0,100.95238095238096,0.0,-33.75,-68.90625,-102.65625,0.0,-33.75,-68.90625,-102.65625,0.0,-33.75,-68.90625,-102.65625,0.0,-33.75,-68.90625,-102.65625
0.0,102.85714285714285,0.0,-39.375,-80.15625,-119.53125,0.0,-39.375,-80.15625,-119.53125,0.0,-39.375,-80.15625,-119.53125,0.0,-39.375,-80.15625,-119.53125
0.0,104.76190476190476,0.0,-46.40625,-91.40625,-137.8125,0.0,-46.40625,-91.40625,-137.8125,0.0,-46.40625,-91.40625,-137.8125,0.0,-46.40625,-91.40625,-137.8125
0.0,106.66666666666666,0.0,-52.03125,-102.65625,-154.6875,0.0,-52.03125,-102.65625,-154.6875,0.0,-52.03125,-102.65625,-154.6875,0.0,-52.03125,-102.65625,-154.6875
0.0,108.57142857142857,0.0,-57.65625,-115.3125,-171.5625,0.0,-57.65625,-115.3125,-171.5625,0.0,-57.65625,-115.3125,-171.5625,0.0,-57.65625,-115.3125,-171.5625
0.0,110.47619047619047,0.0,-63.28125,-126.5625,171.5625,0.0,-63.28125,-126.5625,171.5625,0.0,-63.28125,-126.5625,171.5625,0.0,-63.28125,-126.5625,171.5625
0.0,112.38095238095238,0.0,-68.90625,-136.40625,154.6875,0.0,-68.90625,-136.40625,154.6875,0.0,-68.90625,-136.40625,154.6875,0.0,-68.90625,-136.40625,154.6875
0.0,114.28571428571428,0.0,-74.53125,-147.65625,137.8125,0.0,-74.53125,-147.65625,137.8125,0.0,-74.53125,-147.65625,137.8125,0.0,-74.53125,-147.65625,137.8125
0.0,116.19047619047619,0.0,-78.75,-158.90625,122.34375,0.0,-78.75,-158.90625,122.34375,0.0,-78.75,-158.90625,122.34375,0.0,-78.75,-158.90625,122.34375
0.0,118.09523809523807,0.0,-84.375,-170.15625,105.46875,0.0,-84.375,-170.15625,105.46875,0.0,-84.375,-170.15625,105.46875,0.0,-84.375,-170.15625,105.46875
0.0,119.99999999999999,0.0,-90.0,-180.0,90.0,0.0,-90.0,-180.0,90.0,0.0,-90.0,-180.0,90.0,0.0,-90.0,-180.0,90.0
